cat_A,cat_B,cat_C,cat_D,cat_E,cat_F,cat_G
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,2,1,1
1,1,1,1,2,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,2,1,1
1,2,1,1,2,1,1
1,2,1,1,2,1,1
1,2,1,1,2,1,1
1,2,1,1,2,1,2
1,2,1,1,2,1,2
1,2,1,1,2,1,2
1,2,1,1,2,1,2
1,2,1,1,2,1,2
2,1,1,1,1,1,1
2,1,1,1,1,1,1
2,1,2,1,2,1,2
2,2,1,1,1,1,1
2,2,1,1,1,1,1
2,2,1,1,1,1,2
2,2,1,1,2,1,1
2,2,1,1,2,1,1
2,2,1,1,2,1,2
2,2,1,1,2,1,2
2,2,1,1,2,1,2
2,2,1,1,2,1,2
2,2,1,1,2,1,2
2,2,1,1,2,1,2
2,2,1,1,2,1,2
2,2,1,1,2,2,2
2,2,1,2,1,1,2
2,2,1,2,2,1,2
2,2,1,2,2,1,2
2,2,1,2,2,2,2
2,2,1,2,2,2,2
2,2,1,2,2,2,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,1,2
2,2,2,1,2,2,2
2,2,2,1,2,2,2
2,2,2,1,2,2,2
2,2,2,1,2,2,2
2,2,2,1,2,2,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,1,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
